province,year,avg_temperature,avg_humidity,total_rainfall,RR_Q1,RR_Q2,RR_Q3,RR_Q4,Tavg_Q1,Tavg_Q2,Tavg_Q3,Tavg_Q4,production,productivity,harvest_area,temp_humidity_index,rainfall_per_area,is_java,rainfall_category_kering,rainfall_category_normal,rainfall_category_basah,region_Bali_Nusa,region_Jawa,region_Kalimantan,region_Maluku_Papua,region_Sulawesi,region_Sumatera
jawa tengah,2019,28.273142414860683,74.84520123839009,8.736344785460908,8.097669726057033,7.177706077403603,4.617098756853365,7.333153724797752,27.688087774294672,28.39873015873016,27.718296529968455,29.220234604105574,9655653980,5753,1678479.21,2116.10903368191,5.204916887477479e-06,1,True,False,False,False,True,False,False,False,False
jawa tengah,2020,28.19433962264151,79.94264150943397,9.460702124383278,8.531313035576918,7.682205910606117,6.88847051757027,8.439555921689085,27.912121212121214,28.578187919463083,28.21784511784512,28.142779291553133,9489164620,5693,1666931.49,2253.92998504806,5.675519468605469e-06,1,True,False,False,False,True,False,False,False,False
jawa timur,2018,26.920485282418458,78.37867939538584,9.744773141377609,9.190831301587957,7.459108453924196,5.776103136235827,8.55697144142465,26.059418282548478,27.457666666666665,26.52857142857143,27.702450229709036,10203213170,5826,1751191.67,2109.9920851188795,5.564652521058396e-06,1,True,False,False,False,True,False,False,False,False
jawa timur,2019,27.031704980842914,77.26117496807151,9.797549092122622,9.348352959034225,8.22131764393593,4.804021044733257,7.8903205242869126,26.351874244256347,27.006340819022455,26.254842931937173,28.53035714285714,9580933880,5628,1702426.36,2088.5012882101946,5.755050157978681e-06,1,True,False,False,False,True,False,False,False,False
jawa timur,2020,26.91946812137743,80.81588816911012,10.116010908688162,9.281292655893523,8.606960766599585,6.638436890547314,8.958038313291745,26.827960927960927,27.03709239130435,26.701247771836005,27.055079559363524,9944538260,5668,1754380.3,2175.5207252691634,5.766144836801063e-06,1,True,False,False,False,True,False,False,False,False
kalimantan barat,2018,27.00208239022182,85.1842462652784,10.170004720212974,8.78616633826204,8.926291690756823,8.006634198767678,9.109414453386222,26.644656488549618,27.307599309153716,27.280464216634428,26.77538200339559,799715210,2792,286476.03,2300.1520360039926,3.550036880872012e-05,0,True,False,False,False,False,True,False,False,False
kalimantan barat,2019,27.127172413793105,84.85563218390804,10.07366061428326,8.698080386672013,8.762192163564285,7.7446997272898495,9.107687298996597,26.922836095764275,27.617625899280576,27.171926229508195,26.814965986394558,847875130,2923,290048.44,2301.8933645342845,3.473095946985941e-05,0,True,False,False,False,False,True,False,False,False
kalimantan barat,2020,27.142540687160942,86.123869801085,10.226472818904,8.933083765007984,8.72371943690701,8.787846087000156,8.902210664255296,27.093181818181815,27.641573033707864,26.851129363449694,26.98691437802908,778170360,3033,256575.43,2337.620640211701,3.9857568663162425e-05,0,True,False,False,False,False,True,False,False,False
kalimantan selatan,2018,26.830669546436287,83.8207343412527,8.198969433851758,7.271564711821469,6.523855948788533,5.9962033014551555,7.019564954034142,26.61121495327103,27.012941176470587,26.655555555555555,27.03793103448276,1327492410,4109,323091.21,2248.966424249775,2.5376640341276974e-05,0,True,False,False,False,False,True,False,False,False
kalimantan selatan,2019,27.258362989323846,81.31316725978648,8.03177537158478,7.09140928100987,6.933520486868163,4.526126978647638,6.633450003571995,27.037692307692307,27.197183098591548,26.90821917808219,27.872916666666665,1342861820,3770,356245.95,2216.463828978863,2.254559068351324e-05,0,True,False,False,False,False,True,False,False,False
kalimantan selatan,2020,27.413960113960112,84.02849002849003,8.290694016288665,7.544490825616119,6.060990609756592,6.122712083717655,7.102005406641365,27.561904761904763,27.646666666666665,27.204,27.286666666666665,1150306660,3969,289836.35,2303.5536740773205,2.860474200700712e-05,0,True,False,False,False,False,True,False,False,False
