,MAE,RMSE,R² Score,MAPE (%)
Random Forest,401.93055555555554,486.7234439882445,0.7280333036388266,9.358961356300094
XGBoost,430.5869445800781,508.93028132544833,0.7026500701904297,10.376858205648553
Ridge Regression,438.7027452400738,519.3842402899551,0.6903088959113628,10.571025177871423
Linear Regression,440.4726259297122,519.7722262007147,0.689846037570212,10.592527500577795
LightGBM,623.1189449590829,719.8190304105216,0.40516317956379844,14.751763797087147
